Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
MCX,232579,30,1,SILVER,SILVER24JUN22C58750,24-JUN-2022,OPTFUT,CE,58750,0.5,
MCX,232578,30,1,SILVER,SILVER24JUN22P58500,24-JUN-2022,OPTFUT,PE,58500,0.5,
MCX,232577,30,1,SILVER,SILVER24JUN22C58500,24-JUN-2022,OPTFUT,CE,58500,0.5,
MCX,232576,30,1,SILVER,SILVER24JUN22P58250,24-JUN-2022,OPTFUT,PE,58250,0.5,
MCX,232575,30,1,SILVER,SILVER24JUN22C58250,24-JUN-2022,OPTFUT,CE,58250,0.5,
MCX,232574,30,1,SILVER,SILVER24JUN22P58000,24-JUN-2022,OPTFUT,PE,58000,0.5,
MCX,232573,30,1,SILVER,SILVER24JUN22C58000,24-JUN-2022,OPTFUT,CE,58000,0.5,
MCX,236600,1,100,GOLD,GOLD24JAN23P53200,24-JAN-2023,OPTFUT,PE,53200,0.5,
MCX,236599,1,100,GOLD,GOLD24JAN23C53200,24-JAN-2023,OPTFUT,CE,53200,0.5,
MCX,236598,1,100,GOLD,GOLD24JAN23P53100,24-JAN-2023,OPTFUT,PE,53100,0.5,
MCX,236597,1,100,GOLD,GOLD24JAN23C53100,24-JAN-2023,OPTFUT,CE,53100,0.5,
MCX,236596,1,100,GOLD,GOLD24JAN23P53000,24-JAN-2023,OPTFUT,PE,53000,0.5,
MCX,236595,1,100,GOLD,GOLD24JAN23C53000,24-JAN-2023,OPTFUT,CE,53000,0.5,
MCX,236594,1,100,GOLD,GOLD24JAN23P52900,24-JAN-2023,OPTFUT,PE,52900,0.5,
MCX,236593,1,100,GOLD,GOLD24JAN23C52900,24-JAN-2023,OPTFUT,CE,52900,0.5,
MCX,243064,100,0.1,GOLDM,GOLDM25AUG22C53900,25-AUG-2022,OPTFUT,CE,53900,0.5,
MCX,243063,100,0.1,GOLDM,GOLDM25AUG22P53800,25-AUG-2022,OPTFUT,PE,53800,0.5,
MCX,243062,100,0.1,GOLDM,GOLDM25AUG22C53800,25-AUG-2022,OPTFUT,CE,53800,0.5,
MCX,243055,100,1,CRUDEOIL,CRUDEOIL17AUG22P11150,17-AUG-2022,OPTFUT,PE,11150,0.1,
MCX,243054,100,1,CRUDEOIL,CRUDEOIL17AUG22C11150,17-AUG-2022,OPTFUT,CE,11150,0.1,
MCX,243053,100,1,CRUDEOIL,CRUDEOIL17AUG22P11100,17-AUG-2022,OPTFUT,PE,11100,0.1,
MCX,243052,100,1,CRUDEOIL,CRUDEOIL17AUG22C11100,17-AUG-2022,OPTFUT,CE,11100,0.1,
MCX,243049,1500,1,NICKEL,NICKEL21SEP22P2500,21-SEP-2022,OPTFUT,PE,2500,0.05,
MCX,243048,1500,1,NICKEL,NICKEL21SEP22C2500,21-SEP-2022,OPTFUT,CE,2500,0.05,
MCX,243051,100,0.1,GOLDM,GOLDM25AUG22P53700,25-AUG-2022,OPTFUT,PE,53700,0.5,
MCX,243050,100,0.1,GOLDM,GOLDM25AUG22C53700,25-AUG-2022,OPTFUT,CE,53700,0.5,
MCX,243047,100,1,CRUDEOIL,CRUDEOIL17AUG22P11050,17-AUG-2022,OPTFUT,PE,11050,0.1,
MCX,243046,100,1,CRUDEOIL,CRUDEOIL17AUG22C11050,17-AUG-2022,OPTFUT,CE,11050,0.1,
